id,Title,ReleaseDate,Rating,NumberofReviews,Plays,year,game_type,score
67,Metal Gear Solid 2: Sons of Liberty,"Nov 13, 2001",4.4,3.24,100.0,2001,new,Amazing
68,Super Mario World,"Nov 21, 1990",4.2,4.41,324.0,1990,retro,Amazing
69,Death Stranding,"Nov 08, 2019",3.9,2.56,88.36,2019,new,Great
70,Marvel's Spider-Man: Miles Morales,"Nov 12, 2020",3.9,2.56,98.01,2020,new,Great
71,Dark Souls: Remastered,"May 23, 2018",4.3,1.96,121.0,2018,new,Amazing
72,EarthBound,"Aug 27, 1994",4.2,3.61,81.0,1994,retro,Amazing
73,Castlevania: Symphony of the Night,"Mar 20, 1997",4.4,3.61,82.81,1997,retro,Amazing
74,Super Metroid,"Mar 19, 1994",4.3,4.84,121.0,1994,retro,Amazing
75,Super Mario Bros.,"Sep 13, 1985",3.5,2.25,324.0,1985,retro,Great
76,The Legend of Zelda: Majora's Mask,"Apr 27, 2000",4.4,4.84,169.0,2000,retro,Amazing
77,Star Wars Jedi: Fallen Order,"Nov 15, 2019",3.7,1.96,169.0,2019,new,Great
78,The Last of Us,"Jun 14, 2013",4.2,4.0,289.0,2013,new,Amazing
79,Terraria,"May 16, 2011",4.0,1.69,324.0,2011,new,Great
80,Resident Evil 7: Biohazard,"Jan 24, 2017",3.9,3.24,169.0,2017,new,Great
81,Metal Gear Solid V: The Phantom Pain,"Sep 01, 2015",3.8,2.25,196.0,2015,new,Great
82,Overwatch,"May 24, 2016",3.2,915849.0,361.0,2016,new,Great
83,Half-Life 2,"Nov 16, 2004",4.2,2.89,225.0,2004,new,Amazing
84,Fire Emblem: Three Houses,"Jul 25, 2019",4.0,2.89,144.0,2019,new,Great
85,Grand Theft Auto: San Andreas,"Oct 26, 2004",4.1,2.25,361.0,2004,new,Amazing
86,13 Sentinels: Aegis Rim,"Nov 28, 2019",4.4,1.44,13.69,2019,new,Amazing
87,Persona 3 FES,"Apr 19, 2007",4.1,1.96,70.56,2007,new,Amazing
88,Devil May Cry,"Aug 23, 2001",3.5,1.44,100.0,2001,new,Great
89,Mario Kart 8 Deluxe,"Apr 28, 2017",4.0,2.25,361.0,2017,new,Great
90,Fire Emblem Engage,"Jan 20, 2023",3.9,351649.0,2.56,2023,new,Great
91,Pokémon Violet,"Nov 18, 2022",3.5,567009.0,11.56,2022,new,Great
92,Hotline Miami,"Oct 23, 2012",4.0,1.96,196.0,2012,new,Great
93,Pizza Tower,"Jan 26, 2023",4.5,131769.0,1.44,2023,new,Amazing
94,Psychonauts 2,"Aug 24, 2021",4.2,1.44,18.49,2021,new,Amazing
95,Metroid Prime Remastered,"Feb 08, 2023",4.5,138384.0,1.21,2023,new,Amazing
96,Halo Infinite,"Nov 15, 2021",3.3,944784.0,40.96,2021,new,Great
97,Batman: Arkham Asylum,"Aug 25, 2009",3.9,1.96,289.0,2009,new,Great
99,Mother 3,"Apr 20, 2006",4.5,2.56,32.49,2006,new,Amazing
100,MultiVersus,"Jul 19, 2022",2.8,230400.0,31.36,2022,new,Good
101,Xenoblade Chronicles: Definitive Edition,"May 29, 2020",4.3,1.96,54.76,2020,new,Amazing
102,Half-Life,"Nov 19, 1998",4.0,1.69,169.0,1998,retro,Great
103,Marvel's Guardians of the Galaxy,"Oct 26, 2021",3.8,1.21,26.01,2021,new,Great
104,Danganronpa: Trigger Happy Havoc,"Nov 25, 2010",3.5,1.0,144.0,2010,new,Great
105,Cult of the Lamb,"Aug 11, 2022",3.6,346921.0,7.84,2022,new,Great
164,Detroit: Become Human,"May 25, 2018",3.5,1.0,121.0,2018,new,Great
165,Final Fantasy XV,"Nov 29, 2016",3.3,1.21,121.0,2016,new,Great
166,Persona 5 Strikers,"Feb 20, 2020",3.7,986049.0,26.01,2020,new,Great
167,Limbo,"Jul 21, 2010",3.5,931225.0,169.0,2010,new,Great
168,Pokémon Platinum,"Sep 13, 2008",4.1,1.96,196.0,2008,new,Amazing
169,Stranger of Paradise: Final Fantasy Origin,"Mar 18, 2022",3.6,368449.0,2.56,2022,new,Great
170,Killer7,"Jun 09, 2005",4.3,1.44,7.84,2005,new,Amazing
171,Grand Theft Auto IV,"Apr 29, 2008",3.8,1.21,196.0,2008,new,Great
172,Metroid: Zero Mission,"Feb 09, 2004",4.0,1.44,56.25,2004,new,Great
173,Final Fantasy X,"Jul 19, 2001",4.1,2.25,72.25,2001,new,Amazing
174,Danganronpa 2: Goodbye Despair,"Jul 26, 2012",3.9,944784.0,98.01,2012,new,Great
175,Final Fantasy IX,"Jul 07, 2000",4.3,2.56,46.24,2000,retro,Amazing
176,Halo 3,"Sep 25, 2007",4.2,2.56,144.0,2007,new,Amazing
177,Metroid Fusion,"Nov 17, 2002",4.0,1.69,62.41,2002,new,Great
178,Final Fantasy VI,"Apr 02, 1994",4.4,2.56,37.21,1994,retro,Amazing
179,VA-11 Hall-A: Cyberpunk Bartender Action,"Jun 21, 2016",4.1,883600.0,29.16,2016,new,Amazing
180,Dead Cells,"Aug 06, 2018",3.8,643204.0,84.64,2018,new,Great
181,Far Cry 3,"Nov 28, 2012",3.7,966289.0,196.0,2012,new,Great
182,The Stanley Parable: Ultra Deluxe,"Apr 27, 2022",4.1,350464.0,10.24,2022,new,Amazing
183,SuperHot,"Feb 25, 2016",3.7,697225.0,144.0,2016,new,Great
184,Plants vs. Zombies,"May 05, 2009",3.7,516961.0,196.0,2009,new,Great
285,Shadow of the Tomb Raider,"Sep 14, 2018",3.3,272484.0,23.04,2018,new,Great
286,Mario & Luigi: Bowser's Inside Story,"Sep 14, 2009",4.2,700569.0,43.56,2009,new,Amazing
287,Ghostrunner,"Oct 27, 2020",3.5,236196.0,10.89,2020,new,Great
288,Watch Dogs 2,"Nov 15, 2016",3.3,306916.0,43.56,2016,new,Great
289,Mass Effect 3,"Mar 06, 2012",3.7,603729.0,53.29,2012,new,Great
290,Goat Simulator,"Apr 01, 2014",2.4,113569.0,70.56,2014,new,Good
291,The Elder Scrolls V: Skyrim - Special Edition,"Oct 27, 2016",4.0,192721.0,42.25,2016,new,Great
292,Far Cry 5,"Mar 26, 2018",3.0,311364.0,43.56,2018,new,Good
293,Call of Duty: Modern Warfare 3,"Nov 08, 2011",3.2,344569.0,100.0,2011,new,Great
312,Pokémon Moon,"Nov 18, 2016",3.3,419904.0,62.41,2016,new,Great
313,Zelda II: The Adventure of Link,"Jan 14, 1987",2.6,571536.0,20.25,1987,retro,Good
314,Battlefield 4,"Oct 29, 2013",3.5,185761.0,50.41,2013,new,Great
315,Dragon Ball Z: Budokai Tenkaichi 3,"Oct 04, 2007",3.9,189225.0,43.56,2007,new,Great
316,WarioWare: Get It Together!,"Sep 09, 2021",3.5,159201.0,4.84,2021,new,Great
317,Beyond: Two Souls,"Oct 08, 2013",2.7,187489.0,29.16,2013,new,Good
318,Digimon Survive,"Jul 28, 2022",3.4,27889.0,206116.0,2022,new,Great
319,Spiritfarer,"Aug 18, 2020",3.9,263169.0,5.29,2020,new,Great
320,Little Nightmares II,"Feb 10, 2021",4.0,323761.0,6.25,2021,new,Great
321,The Evil Within 2,"Oct 12, 2017",3.7,292681.0,7.29,2017,new,Great
322,Bloons TD 6,"Jun 14, 2018",3.8,58081.0,16.81,2018,new,Great
323,Sayonara Wild Hearts,"Sep 19, 2019",3.9,525625.0,9.61,2019,new,Great
324,Metro 2033 Redux,"Aug 26, 2014",3.6,131769.0,15.21,2014,new,Great
325,Melty Blood: Type Lumina,"Sep 29, 2021",3.6,37636.0,3.24,2021,new,Great
519,Mario Kart 7,"Dec 02, 2011",3.5,351649.0,100.0,2011,new,Great
520,Castle Crashers,"Aug 27, 2008",3.6,237169.0,88.36,2008,new,Great
521,Rain World,"Mar 28, 2017",4.1,168921.0,1.21,2017,new,Amazing
522,Mario Party Superstars,"Oct 28, 2021",3.7,267289.0,14.44,2021,new,Great
523,Bully,"Oct 17, 2006",3.9,403225.0,44.89,2006,new,Great
524,Mario Kart 64,"Dec 14, 1996",3.5,525625.0,94.09,1996,retro,Great
525,Octopath Traveler II,"Feb 24, 2023",4.4,64009.0,66564.0,2023,new,Amazing
526,Norco,"Mar 24, 2022",3.9,148996.0,654481.0,2022,new,Great
528,Assassin's Creed Odyssey,"Oct 05, 2018",3.4,595984.0,46.24,2018,new,Great
529,Transistor,"May 20, 2014",3.8,614656.0,31.36,2014,new,Great
530,The Evil Within,"Oct 14, 2014",3.4,395641.0,23.04,2014,new,Great
531,Metal: Hellsinger,"Sep 15, 2022",3.7,103684.0,1.44,2022,new,Great
572,Halo: The Master Chief Collection,"Nov 11, 2014",4.2,126736.0,26.01,2014,new,Amazing
573,Pokémon Crystal,"Dec 14, 2000",3.9,512656.0,51.84,2000,retro,Great
574,Uncharted: The Lost Legacy,"Aug 22, 2017",3.8,574564.0,22.09,2017,new,Great
575,Resident Evil 3: Nemesis,"Sep 22, 1999",3.8,720801.0,18.49,1999,retro,Great
576,Sea of Thieves,"Mar 20, 2018",3.3,125316.0,28.09,2018,new,Great
577,F.E.A.R.,"Oct 17, 2005",3.8,318096.0,12.96,2005,new,Great
578,Mafia: Definitive Edition,"Sep 24, 2020",3.7,176400.0,7.29,2020,new,Great
579,NieR,"Apr 22, 2010",4.2,552049.0,8.41,2010,new,Amazing
580,The Walking Dead: Season Two,"Dec 17, 2013",3.5,312481.0,44.89,2013,new,Great
581,Forspoken,"Jan 24, 2023",2.3,44521.0,63504.0,2023,new,Good
582,Max Payne 2: The Fall of Max Payne,"Oct 14, 2003",4.1,305809.0,16.81,2003,new,Amazing
583,Shin Megami Tensei: Devil Summoner - Soul Hackers,"Nov 13, 1997",3.8,220900.0,1.44,1997,retro,Great
584,Dusk,"Dec 10, 2018",4.0,237169.0,6.25,2018,new,Great
585,The Elder Scrolls III: Morrowind,"May 01, 2002",4.0,301401.0,13.69,2002,new,Great
586,Rollerdrome,"Aug 16, 2022",3.7,67600.0,185761.0,2022,new,Great
587,Final Fantasy XVI,"Jun 22, 2023",,178084.0,1369.0,2023,new,
588,Pokémon Sun,"Nov 18, 2016",3.3,360000.0,57.76,2016,new,Great
589,Yu-Gi-Oh! Master Duel,"Jan 18, 2022",3.2,28900.0,4.41,2022,new,Great
590,Injustice: Gods Among Us,"Apr 16, 2013",3.0,132496.0,50.41,2013,new,Good
591,Pac-Man,"May 22, 1980",3.4,182329.0,27.04,1980,retro,Great
592,Final Fantasy X/X-2 HD Remaster,"Dec 26, 2013",4.1,135424.0,10.24,2013,new,Amazing
593,Mortal Kombat X,"Apr 13, 2015",3.3,184900.0,50.41,2015,new,Great
594,Shin Megami Tensei: Digital Devil Saga,"Jul 15, 2004",4.1,431649.0,4.0,2004,new,Amazing
595,Star Wars: The Force Unleashed,"Sep 16, 2008",3.2,173889.0,54.76,2008,new,Great
596,Shovel Knight: Treasure Trove,"Dec 09, 2019",4.3,198025.0,14.44,2019,new,Amazing
597,Ghost of Tsushima: Director's Cut,"Aug 20, 2021",4.2,119025.0,3.24,2021,new,Amazing
598,Donkey Kong Country Returns,"Nov 21, 2010",3.9,271441.0,28.09,2010,new,Great
599,Street Fighter III: 3rd Strike,"May 12, 1999",4.2,582169.0,13.69,1999,retro,Amazing
600,Return to Monkey Island,"Sep 19, 2022",4.0,56169.0,289444.0,2022,new,Great
601,Deus Ex: Human Revolution,"Aug 23, 2011",3.8,312481.0,33.64,2011,new,Great
602,Spyro Reignited Trilogy,"Nov 13, 2018",3.9,304704.0,20.25,2018,new,Great
603,Chicory: A Colorful Tale,"Jun 10, 2021",4.1,271441.0,968256.0,2021,new,Amazing
604,Sin and Punishment,"Nov 21, 2000",4.0,210681.0,1.21,2000,retro,Great
605,Outer Wilds: Echoes of the Eye,"Sep 28, 2021",4.5,56644.0,2.56,2021,new,Amazing
606,New Super Mario Bros. 2,"Jul 28, 2012",2.9,337561.0,37.21,2012,new,Good
607,Wolfenstein II: The New Colossus,"Oct 26, 2017",3.5,291600.0,22.09,2017,new,Great
608,PokÃ©mon Diamond,"Sep 28, 2006",3.6,337561.0,86.49,2006,new,Great
609,Into the Breach,"Feb 27, 2018",3.9,286225.0,11.56,2018,new,Great
610,Marvel Snap,"Oct 18, 2022",3.7,58081.0,717409.0,2022,new,Great
611,Nier: Automata - Game of the Yorha Edition,"Feb 21, 2019",4.4,99225.0,7.84,2019,new,Amazing
612,Five Nights at Freddy's 2,"Nov 10, 2014",3.0,72900.0,29.16,2014,new,Good
613,Mortal Kombat 11,"Apr 22, 2019",3.4,240100.0,25.0,2019,new,Great
614,Witch on the Holy Night,"Dec 07, 2022",4.5,9604.0,59536.0,2022,new,Amazing
615,Dying Light 2: Stay Human,"Feb 03, 2022",3.1,84100.0,1.96,2022,new,Great
616,Asura's Wrath,"Feb 21, 2012",3.7,186624.0,4.41,2012,new,Great
617,Tales of Berseria,"Aug 18, 2016",3.7,308025.0,10.89,2016,new,Great
618,Ender Lilies: Quietus of the Knights,"Jun 21, 2021",3.8,75625.0,1.44,2021,new,Great
619,Moon: Remix RPG Adventure,"Oct 16, 1997",4.4,327184.0,439569.0,1997,retro,Amazing
620,Prince of Persia: The Sands of Time,"Nov 06, 2003",3.6,230400.0,30.25,2003,new,Great
621,Assassin's Creed Syndicate,"Oct 23, 2015",3.0,315844.0,31.36,2015,new,Good
622,Sunset Overdrive,"Oct 28, 2014",3.5,198025.0,12.96,2014,new,Great
623,Metal Gear Solid: Peace Walker,"Apr 29, 2010",3.5,248004.0,16.0,2010,new,Great
624,Code Vein,"Sep 26, 2019",3.0,105625.0,10.89,2019,new,Good
632,Mario Strikers: Battle League,"Jun 10, 2022",2.7,61504.0,868624.0,2022,new,Good
633,Limbus Company,"Feb 27, 2023",3.9,576.0,10816.0,2023,new,Great
